Name,Surname,Age,Gender,Daily Hours in Game,Game,Rating,Country
Nina,Phillips,17,Female,3.5,Triple Play 2001,5,Austria
Dylan,Young,13,Male,4.0,NHL 22,3,Uzbekistan
Vincent,Adams,15,Male,3.1,Superman Returns,3,Russia
Aaron,Williams,17,Male,3.2,FIFA 06,1,Serbia
Alexander,Ramirez,17,Male,4.0,NBA Live 96,3,Norway
Benjamin,Parker,13,Male,3.9,ReBoot,3,Kyrgyzstan
Emily,Roberts,18,Female,3.0,Wild Hearts,3,Uzbekistan
Leila,Reyes,13,Female,3.3,Madden NFL 2002,4,North Macedonia
Karl,Lewis,16,Male,3.8,FIFA 18,3,Ukraine
Kilian,Morgan,15,Male,3.0,The F.A. Premier League Football Manager 2000,4,Turkey
Marco,Ortiz,17,Male,3.2,Harry Potter and the Half-Blood Prince,3,Belgium
Poppy,Adams,13,Female,4.0,FIFA 14,4,Bulgaria
Nico,Morales,17,Male,3.0,Sea of Solitude,2,Moldova
Julius,Lewis,18,Male,4.0,Darklight Conflict,5,United States
David,Miller,15,Male,3.6,Madden NFL 24,2,Ukraine
Liam,Baker,15,Male,3.7,Fighter Pilot,4,Lithuania
Adeline,Peterson,13,Female,4.0,Burnout Revenge,3,Romania
Michael,Miller,17,Male,4.0,Wing Commander: Privateer,4,Bosnia and Herzegovina
David,Thompson,19,Male,3.0,The Seven Cities of Gold,3,United States
Lily,Rivera,19,Female,3.1,Toughman Contest,2,North Macedonia
Michael,Turner,15,Male,3.7,Axis Assassin,4,Kyrgyzstan
Daniela,Williams,13,Female,3.7,Age of Adventure,4,Ukraine
Paul,Cruz,14,Male,3.5,CLUE: Unravel the Clues and Crack the Case,3,Norway
Emilio,Nguyen,16,Male,3.0,F1 Championship Season 2000,4,Belarus
Florian,Thomas,34,Male,3.6,NHL 2002,4,China
Aaron,Roberts,18,Male,3.0,NBA Live 97,3,Austria
Julian,Hill,14,Male,4.0,Iron Force 2,4,North Macedonia
Sebastian,Young,16,Male,3.5,The Sims: Hot Date,3,Moldova
Marco,Jones,16,Male,3.9,Tiger Woods PGA Tour 14,3,Malta
Emil,Hernandez,10,Male,4.0,Skate or Die!,4,Kazakhstan
Gabriel,Kelly,11,Male,3.0,Plants vs. Zombies: Garden Warfare,2,Germany
Jannik,Ortiz,18,Male,3.0,FIFA Football 2003,3,Turkmenistan
Angelina,Hernandez,16,Female,4.0,Jane's Combat Simulations: AH-64D Longbow: Flash Point Korea,4,Montenegro
Peter,Evans,12,Male,3.5,FIFA 07,4,Russia
Sasha,Morales,14,Female,4.0,The Sims 3: Into the Future,3,Serbia
Aria,Moore,16,Female,3.9,Spare Parts,4,Kyrgyzstan
Leonard,Martinez,16,Male,3.0,Mass Effect Legendary Edition,3,Russia
Nico,Jones,13,Male,3.0,Road Rash 3D,4,Sweden
Fabio,Thomas,14,Male,3.5,Queen: The eYe,1,Kyrgyzstan
Leonard,Ortiz,19,Male,3.7,Jane's Combat Simulations: Air Superiority Collection,4,Finland
Lucas,Reyes,15,Male,3.5,NBA Live 08,3,Finland
Leander,Parker,13,Male,3.2,Syndicate,3,Kazakhstan
Ava,Thomas,30,Female,3.8,FaceBreaker,3,United Kingdom
Fiona,Reed,15,Female,3.4,LHX Attack Chopper,1,Netherlands
Nicolas,Ortiz,17,Male,3.7,The Sims 4: Get Together,3,Portugal
Jannik,Collins,14,Male,3.9,F1 23,2,Sweden
Hannah,Martinez,15,Male,3.8,Dragon Age Legends,3,Bosnia and Herzegovina
Andreas,Gonzalez,15,Male,3.7,Madden NFL 21,4,Turkmenistan
Ariel,Lee,16,Female,3.3,Shaq Fu,4,Kyrgyzstan
Tobias,Roberts,19,Male,3.8,NHL 98,4,Ireland
David,Wright,16,Male,4.0,The Sims 3,4,Turkmenistan
Dylan,Miller,15,Male,3.4,Arena Football,4,United States
David,Turner,16,Male,3.0,Ultimate Motorcycle Series,4,China
Filip,Diaz,14,Male,3.5,Ultimate Hunt Challenge,4,Canada
Grace,Martin,13,Female,4.0,The Sims 4: Cottage Living,3,Russia
Leander,Martinez,16,Male,3.3,Gamers Pack,4,North Macedonia
Filip,Davis,49,Male,3.0,Madden NFL 2003,2,Albania
Matilda,Lopez,17,Female,3.9,Championship Bass,1,United States
Tommy,Johnson,17,Male,3.1,Buffy the Vampire Slayer,4,Ireland
Severin,Davis,12,Male,3.0,Star Wars Jedi: Survivor,4,Slovenia
Eden,Hernandez,70,Female,3.7,Madden NFL 15,3,Turkey
Robin,Torres,14,Male,4.0,Madden NFL 12,4,United States
Sasha,Lee,16,Female,3.3,2006 FIFA World Cup,3,Spain
Christian,Cook,19,Male,3.4,FIFA 20,4,China
Vincent,Murphy,57,Male,4.0,Aaargh![b],3,United States
Milo,Gonzalez,15,Male,3.4,SSX 3,4,Kazakhstan
Avery,Morales,13,Female,3.9,WCW Backstage Assault,4,Czech Republic
Thomas,Reed,55,Male,3.7,Ultima Underworld II: Labyrinth of Worlds,4,Serbia
Valentin,Hall,15,Male,3.3,Trivial Pursuit Daily 20,4,United States
Mario,Gonzalez,14,Male,3.6,Outdoorsman Mania,3,Spain
Jannik,Reed,19,Male,3.2,Star Wars Battlefront,3,United Kingdom
Tim,Jones,16,Male,3.5,SimCity 3000,4,Lithuania
Gustav,Clark,17,Male,4.0,Command & Conquer 3: Kane's Wrath,3,Ukraine
Emil,Ortiz,13,Male,3.8,Extreme Pinball,4,Italy
Paul,Miller,13,Male,3.9,Hard Hat Mack,3,Monaco
Rafael,Howard,14,Male,3.1,NBA Live 06,3,Romania
Stefan,Garcia,44,Male,3.6,The Sims 3: Seasons,2,Uzbekistan
Simon,Thomas,17,Male,3.0,Harry Potter and the Chamber of Secrets,3,Poland
Ayla,King,60,Female,3.0,FIFA Street 2,4,Tajikistan
Mia,Carter,16,Female,3.4,The Sims 4: City Living,4,Montenegro
Emil,Martin,15,Male,3.3,Triple Play 97,4,Serbia
David,Ortiz,14,Male,3.6,The Sims 4,3,Bosnia and Herzegovina
Gabrielle,Lee,16,Female,4.0,Axis Assassin,4,Slovenia
Henry,Peterson,15,Male,3.6,The Sims 3: Pets,4,Switzerland
Nathan,Lee,16,Male,3.0,Buick PGA Tour Courses,2,China
Hazel,Cook,15,Female,4.0,Unravel,4,North Macedonia
Mateo,Scott,20,Male,3.7,FIFA Soccer 96,5,Slovenia
Lukas,Garcia,13,Male,3.8,Madden NFL 2002,4,China
Roman,Gonzalez,16,Male,3.5,Apex Legends,4,Kyrgyzstan
Florian,Anderson,14,Male,3.8,Fight Night Round 3,3,Switzerland
Karl,Howard,12,Male,3.8,Medal of Honor: Above and Beyond,4,Belarus
Valentin,Morgan,14,Male,3.5,Scrabble,4,Russia
Paul,Kelly,14,Male,3.5,Left 4 Dead 2[p],2,Greece
Sofia,Collins,15,Female,3.6,Mike Edwards' Realm of Impossibility,2,San Marino
Julian,Phillips,19,Male,3.5,Triple Play 2002,3,Russia
Julia,Taylor,17,Female,4.0,NHL 95,4,Russia
Christian,Edwards,18,Male,3.5,Jane's Combat Simulations: Naval Warfare Collection,4,Uzbekistan
Sebastian,Anderson,14,Male,3.0,The Sims 4: Outdoor Retreat,4,Kyrgyzstan
Paul,Campbell,11,Male,3.0,Apex Legends,4,China
Olivia,Adams,40,Female,3.0,Left 4 Dead 2[p],3,Bosnia and Herzegovina
Rebecca,Flores,16,Female,3.0,Battlefield 1942: Secret Weapons of WWII,4,Switzerland
Catherine,Mitchell,13,Female,4.0,Harry Potter and the Deathly Hallows – Part 2,3,Russia
Sam,Nguyen,39,Male,3.0,NCAA Football 08,1,Latvia
Alexa,Morgan,15,Female,3.0,Command & Conquer: Renegade,3,Slovenia
Leonardo,Harris,17,Male,3.0,Risky Woods,4,Montenegro
Alex,Davis,32,Male,3.2,Pooh and Tigger's Hunny Safari[e],1,United States
Emma,Mitchell,36,Female,3.5,Auditorium,3,China
David,Smith,19,Male,4.0,Risky Woods,3,Uzbekistan
Dylan,Kelly,11,Male,3.0,NASCAR Thunder 2004,1,United States
Stefan,Nelson,17,Male,3.2,FIFA Football 2004,3,Serbia
Freya,Green,19,Female,3.7,688 Attack Sub,3,Latvia
Nicolas,Rivera,16,Male,3.7,Tiger Woods PGA Tour 2003,4,Kyrgyzstan
Christian,Williams,15,Male,3.0,Battlefield Hardline,3,Turkmenistan
Julius,Clark,63,Male,3.4,It Takes Two,3,Russia
Vincent,Lewis,18,Male,3.6,The Saboteur,3,Romania
Amelie,Clark,12,Female,4.0,FIFA Football 2004,4,United States
Paul,Jones,15,Male,3.1,The Archon Collection,4,Croatia
Enzo,Baker,17,Male,3.2,Mirror's Edge,3,Serbia
Sienna,Garcia,30,Female,3.7,Battlefield 1942: Secret Weapons of WWII,4,Germany
Hannes,Brown,16,Male,3.2,Madden NFL 22,4,Luxembourg
Valentin,Cook,18,Male,3.7,Darklight Conflict,4,Albania
Ellie,Ramos,16,Female,3.1,Alternate Reality: The City,3,Slovakia
Paul,Young,17,Male,3.4,The Urbz: Sims in the City,3,San Marino
Noah,Clark,15,Male,3.2,NHL 95,3,Netherlands
Stefan,Young,14,Male,3.5,Marble Madness,2,Switzerland
Emil,Reed,31,Male,3.2,NHL 22,4,Russia
Valentin,Stewart,59,Male,3.4,Madden NFL 2004,3,Poland
Eden,Nguyen,14,Female,3.2,D-Bug,3,Netherlands
Oskar,Howard,17,Male,3.8,Timothy Leary's Mind Mirror,2,Malta
Levin,Cook,13,Male,3.0,MVP 06: NCAA Baseball,4,Estonia
Lukas,Collins,18,Male,3.6,FIFA 97[p],3,China
Valentin,Green,17,Male,3.7,Ultima Collection,3,Montenegro
Fabio,Lopez,14,Male,3.0,FIFA Football 2001,4,Romania
Daisy,Flores,18,Female,4.0,Project Firestart,3,Norway
Luca,Ortiz,17,Male,3.0,Lakers versus Celtics and the NBA Playoffs,5,Netherlands
Vincent,Cruz,16,Male,3.7,The Sims 4: Jungle Adventure,4,Sweden
Erik,Peterson,15,Male,3.0,Rock Band 2,4,Austria
Tobias,Davis,13,Male,4.0,CyberMage: Darklight Awakening,3,Turkey
Enzo,Davis,13,Male,3.2,Ultima Online,5,Kazakhstan
Alicia,Miller,12,Female,3.9,Rock Band Unplugged,4,Norway
David,Martin,16,Male,3.4,NCAA Football 08,4,San Marino
Sam,Collins,16,Male,3.7,Need for Speed: Carbon,4,North Macedonia
Luca,Hill,14,Male,3.7,Skyfox II: The Cygnus Conflict,1,Ukraine
Leah,Martinez,13,Female,4.0,The Sims 3: Ambitions,3,Russia
Roman,King,19,Male,3.8,The Lost World: Jurassic Park,3,Kazakhstan
Harriet,Nelson,16,Female,3.7,Madden NFL 18,3,United States
Charlotte,Mitchell,15,Female,3.6,John Madden Football,3,Uzbekistan
Jakob,Martinez,17,Male,3.4,FIFA Football 2004,5,Vatican City
Rafael,Edwards,19,Male,4.0,Tetris,2,Portugal
Dominik,Gonzalez,17,Male,3.3,The Lord of the Rings: Conquest,4,Czech Republic
Emilio,Murphy,15,Male,3.9,Dead Space: Extraction,4,United States
Elias,Martin,16,Male,3.7,GRID Legends,3,China
Elias,Morgan,14,Male,3.4,NHL Slapshot,4,Kazakhstan
Kai,Baker,17,Male,4.0,F-117 Night Storm,4,Finland
Timo,Johnson,17,Male,3.3,NBA Live 2005,3,Estonia
Mario,Smith,17,Male,3.2,NBA Street,3,United Kingdom
Kevin,Reed,17,Male,4.0,FIFA 12,3,Poland
Clara,Kelly,16,Female,3.0,The Bard's Tale II: The Destiny Knight,1,Sweden
Gabriel,Clark,12,Male,3.6,NBA Jam: On Fire Edition,4,Uzbekistan
Andreas,Gomez,55,Male,4.0,The Sims 4: Vampires,4,Slovenia
Julien,Gonzalez,18,Male,3.7,Cyberia,4,North Macedonia
Alfred,Rivera,32,Male,3.7,It Takes Two,4,United States
Fabian,Thomas,19,Male,3.4,NBA Live 97,4,Slovakia
Bella,Stewart,18,Female,4.0,Sid Meier's Alpha Centauri Planetary Pack,4,Slovenia
Anton,Rivera,15,Male,3.3,FIFA Football 2004,3,Romania
Daniela,Hall,16,Female,3.4,Drome Racers,1,Kyrgyzstan
Niamh,Parker,18,Female,3.8,Shift 2: Unleashed,4,Switzerland
Alex,Moore,15,Male,3.8,Projectyle,1,Serbia
Thomas,Gutierrez,15,Male,3.3,Bulletstorm,4,Iceland
Mia,Lewis,16,Female,3.9,Warhammer Online: Age of Reckoning,4,France
Jonas,Phillips,15,Male,3.2,RustHeart,3,Portugal
Lily,Thompson,32,Female,3.5,James Pond 3: Operation Starfish,3,Croatia
Leonardo,Collins,18,Male,3.0,NBA Street Showdown,4,Canada
Matteo,Rogers,15,Male,3.1,Command & Conquer: Red Alert 3: Commander's Challenge,3,Luxembourg
Alfred,Gutierrez,15,Male,4.0,Connect 4,4,Bulgaria
Summer,Torres,12,Female,3.1,FIFA 08,5,Romania
Nikolai,Hill,13,Male,4.0,FIFA 08,3,Norway
Hannes,Cruz,14,Male,4.0,NFL Street 2,4,Albania
Peter,Scott,14,Male,3.3,The Simpsons: Tapped Out,3,Turkey
Dominik,Miller,16,Male,3.1,Play the Games Vol. 4,4,Vatican City
Alexa,Wright,17,Female,3.3,Space Hulk: Vengeance of the Blood Angels,4,Canada
Marvin,Gonzalez,15,Male,4.0,The Simpsons Game,4,Switzerland
Marco,Martin,15,Male,3.6,Madden NFL 16,3,Poland
Amelia,Evans,17,Female,3.0,SimMania Pack,3,United States
Enzo,Thomas,17,Male,3.0,Burnout Dominator,4,Austria
Sam,Young,18,Male,3.7,Super Boulder Dash,4,Russia
Peter,Nelson,18,Male,3.8,The Sims 4: Vampires,2,Cyprus
Fabian,Jackson,14,Male,3.0,Populous II: Trials of the Olympian Gods,1,Slovenia
Noah,Morris,15,Male,3.0,The Sims 3: Late Night,4,Bosnia and Herzegovina
Fabio,Torres,15,Male,3.7,Harry Potter and the Sorcerer's Stone,4,Canada
Alexander,Peterson,14,Male,4.0,GRID Legends,4,Ukraine
Fabian,Gutierrez,17,Male,3.3,MVP Baseball 2004,3,Ukraine
Emil,Kelly,18,Male,3.4,Madden NFL 2000,3,Norway
Nicolas,Nelson,14,Male,3.6,FIFA Football 2004,4,Hungary
Alex,Wright,14,Male,3.0,Harry Potter and the Deathly Hallows – Part 2,3,Cyprus
Emanuel,Allen,14,Male,3.5,G.I. Joe: The Rise of Cobra,3,Lithuania
Dominik,Turner,14,Male,3.6,The Sims Bustin' Out,4,Norway
Levin,Brown,17,Male,3.9,FIFA 21,3,Romania
Lucas,Diaz,18,Male,3.5,Need for Speed: Most Wanted,2,China
Maksim,Cruz,13,Male,3.6,FIFA 21,4,Slovenia
Andreas,Moore,12,Male,3.7,Make Your Own Murder Party,3,Romania
Valentin,Allen,65,Male,3.6,Tiger Woods PGA Tour 06,4,Ukraine
Alexander,Rodriguez,53,Male,3.7,Yogify,4,Russia
Lennard,Moore,14,Male,3.0,FIFA 20,4,United States
Fabio,Gutierrez,17,Male,3.4,Ty the Tasmanian Tiger 2: Bush Rescue,4,United States
Amelia,Thomas,16,Female,3.7,F1 Championship Season 2000,4,Romania
Louis,Ortiz,18,Male,3.1,Titanfall 2,3,Tajikistan
Emil,Davis,17,Male,3.6,SimCity Deluxe,4,Belarus
Andreas,Gonzalez,49,Male,4.0,The Sims 4: Spa Day,4,United States
Marius,Mitchell,52,Male,3.7,SimSafari,2,Latvia
Milo,Thomas,16,Male,3.0,Tiger Woods PGA Tour 2003,2,San Marino
Mila,Wright,13,Female,3.3,Dead Space,4,Poland
Raphael,Brown,19,Male,4.0,Best of EA Sports,3,Moldova
Filip,Morris,17,Male,3.8,Spore Creatures,4,Cyprus
Dominik,Roberts,18,Male,3.8,The Sims 3,3,Russia
Emily,Mitchell,15,Female,3.8,Centurion: Defender of Rome,4,Turkmenistan
Markus,Murphy,16,Male,3.0,AFL 98,4,Latvia
Alessandra,Morris,16,Female,3.4,The Lord of the Rings: The Return of the King,4,France
Maksim,Harris,16,Male,3.0,Tiger Woods PGA Tour 12,4,Poland
Florian,Gomez,16,Male,3.4,Battlefield Hardline,1,Netherlands
Rafael,Morgan,19,Male,3.4,The Sims 4: Growing Together,4,Hungary
Christian,Mitchell,19,Male,3.0,Zany Golf,3,Serbia
Benjamin,Thomas,17,Male,3.7,The Sims 4: Horse Ranch,4,Slovakia
Catherine,Garcia,17,Female,4.0,Medal of Honor: Allied Assault[g],4,Iceland
Lacey,Morgan,13,Female,3.4,The Sims 2: Castaway,4,Andorra
Kilian,Morris,15,Male,3.0,The Sims Castaway Stories,2,Montenegro
Alexander,Phillips,16,Male,3.7,Bulls vs. Blazers and the NBA Playoffs,1,San Marino
Hannah,Taylor,12,Male,3.4,One on One: Dr. J vs. Larry Bird,3,Denmark
Richard,Scott,11,Male,4.0,One on One: Dr. J vs. Larry Bird,3,Moldova
Alex,Cook,70,Male,4.0,Knockout Kings 2001,3,Bulgaria
Alfred,Davis,17,Male,3.0,Harry Potter and the Sorcerer's Stone,3,United States
Lukas,Johnson,20,Male,4.0,TimeSplitters: Future Perfect,5,Kazakhstan
Benedikt,Young,15,Male,4.0,Extreme Pinball,1,Belarus
Fabian,Flores,16,Male,3.9,Archon II: Adept,4,China
Alexander,Young,15,Male,3.0,Dead Space,4,Serbia
Erik,Flores,43,Male,3.9,TKO,4,Tajikistan
Alexander,Howard,50,Male,4.0,Crusader: No Remorse,3,Kazakhstan
Alfred,Kelly,14,Male,4.0,Madden NFL 16,4,Netherlands
Maximilian,Smith,18,Male,3.8,Plants vs. Zombies: Garden Warfare,4,Russia
Hannah,Garcia,16,Male,3.1,Axis Assassin,2,Turkey
Elise,Rivera,17,Female,3.0,FIFA 99,3,United States
Emanuel,Morris,17,Male,3.9,Cricket 07,3,Monaco
Sebastian,Lopez,18,Male,3.5,Populous,3,Canada
Levin,Anderson,16,Male,3.4,The Creed,4,China
Leander,Young,14,Male,3.3,Madden NFL 07,4,Kazakhstan
Holly,Taylor,13,Female,3.6,F1 2001,4,Norway
Harper,Thompson,15,Female,4.0,Madden NFL 11,4,Russia
Florian,Thompson,14,Male,3.2,NCAA Football 07,4,San Marino
Fritz,Thomas,13,Male,3.3,007 Racing,3,China
Gustav,Cruz,16,Male,4.0,Lakers versus Celtics and the NBA Playoffs,3,Poland
Emanuel,Gonzalez,17,Male,3.0,Cartooners,4,Slovakia
Noah,Campbell,18,Male,3.9,Need for Speed: Underground 2,5,Estonia
Emanuel,Baker,16,Male,3.8,NFL Blitz,1,Netherlands
Ivy,Cook,11,Female,3.4,MVP Baseball 2005,3,Kazakhstan
Daniela,Cook,60,Female,4.0,Brain Training for Dummies,4,Tajikistan
Dylan,Martinez,15,Male,3.0,Rugby 08,5,China
Maksim,Johnson,14,Male,3.0,Madden NFL 25,3,China
Simon,Thompson,14,Male,3.7,Mass Effect 2,3,China
Lillian,Evans,13,Female,3.4,Madden NFL 11,2,Slovenia
Fabio,Gutierrez,13,Male,3.4,Daughter of Serpents,2,Tajikistan
Alice,Moore,16,Female,3.8,Flips,4,Bulgaria
Emil,Peterson,21,Male,4.0,Dune 2000,3,China
Bruno,Adams,18,Male,4.0,Dragon Age: Origins,4,North Macedonia
Jakob,Wright,12,Male,3.1,UEFA Champions League 2004–2005,4,Russia
Levin,Smith,17,Male,3.7,Rango,3,Germany
Paul,Evans,17,Male,3.8,Populous: The Beginning,4,Ukraine
Paul,Smith,15,Male,3.3,The Sims 4: Eco Lifestyle,2,United Kingdom
Maksim,Taylor,18,Male,3.2,Surviving High School,4,Canada
Oskar,Williams,19,Male,3.7,007: Agent Under Fire,4,China
David,Parker,15,Male,3.5,Hellgate: London,1,France
Emanuel,Thompson,18,Male,3.9,NHL Superstars,4,China
Nicolas,Morris,19,Male,3.3,Star Wars: Squadrons,5,Ukraine
Amelie,Garcia,19,Female,3.5,NCAA Football 98,3,Finland
Lukas,White,17,Male,3.9,Dragon Age: Inquisition,4,Slovenia
Emanuel,Clark,14,Male,3.8,Madden NFL 24,3,Cyprus
Bruno,Anderson,14,Male,4.0,Madden NFL 06,4,China
Julian,Johnson,14,Male,4.0,Madden NFL 2001,4,Turkey
Dominik,Bailey,16,Male,3.0,Battlefield 4,3,Uzbekistan
Amber,Morris,15,Female,3.3,The Simpsons: Tapped Out,5,China
Jakob,Sanchez,18,Male,3.4,Play the Games Vol. 1,4,China
Eden,Ortiz,47,Female,3.0,Mirror's Edge,4,Czech Republic
Karl,Perez,19,Male,3.0,Darkspore,4,Monaco
Julian,Gomez,14,Male,3.0,Need for Speed,3,Albania
Lars,Phillips,16,Male,4.0,Need for Speed Rivals,3,Poland
Leander,Diaz,49,Male,3.4,The Sims 4: Dream Home Decorator,3,Greece
Marvin,Williams,14,Male,3.1,Shockwave 2: Beyond the Gate,4,Russia
Liam,Scott,17,Male,3.5,UEFA Champions League 2004–2005,1,Liechtenstein
Rafael,Taylor,11,Male,3.2,Tiger Woods PGA Tour 06,3,Slovakia
Fabio,Williams,15,Male,3.4,FIFA 17,3,Monaco
Matteo,Taylor,12,Male,3.0,FIFA Football 2003,3,Slovakia
Nina,Stewart,18,Female,3.2,FIFA 2000,3,France
Lukas,Howard,13,Male,3.0,Theme Aquarium,3,Hungary
Ruby,Walker,17,Female,3.2,FIFA 23,4,Monaco
Nico,Cruz,18,Male,3.6,The Bard's Tale,4,China
Lars,Mitchell,15,Male,3.3,The Lord of the Rings: The Third Age,3,Italy
David,Anderson,14,Male,3.5,Madden NFL 2000,3,North Macedonia
Robin,Lewis,18,Male,3.2,FIFA Soccer 96,4,United States
Julian,Cook,16,Male,3.0,Shogun: Total War - The Mongol Invasion,4,Italy
Roman,Thompson,14,Male,3.7,Dead Space,3,China
Bruno,White,18,Male,4.0,NASCAR 09,3,Czech Republic
Madeleine,Morales,14,Female,4.0,The Sims 2: Seasons,3,North Macedonia
Marvin,Turner,14,Male,3.7,FIFA 08,3,Bulgaria
Nico,Nelson,19,Male,3.4,FIFA 16,3,Norway
Andreas,Turner,16,Male,3.0,NBA Live 2001,3,Norway
Markus,Gonzalez,10,Male,3.5,Jane's Combat Simulations: AH-64D Longbow: Flash Point Korea,4,Canada
Simon,Miller,15,Male,3.1,Left 4 Dead 2[p],4,Germany
Eliza,Thompson,17,Female,3.6,Triple Play Baseball '96,1,Italy
Henry,Nelson,17,Male,3.9,The Sims 3: Supernatural,2,Finland
Matteo,Kelly,13,Male,4.0,Pirates: The Legend of Black Kat,4,Austria
Sebastian,Rogers,16,Male,4.0,Need for Speed: Nitro-X,3,Slovakia
Elias,Turner,16,Male,4.0,NHL 97,3,Ukraine
Julian,Murphy,19,Male,4.0,Madden NFL 16,5,Russia
Matteo,Scott,14,Male,3.6,Madden NFL 23,2,Belarus
Jonathan,Wright,15,Male,4.0,Tiger Woods PGA Tour 2004,3,Kazakhstan
Isla,Cook,11,Female,3.6,The Sims 4 Stuff packs,4,China
Sienna,Williams,16,Female,3.5,Madden NFL Mobile,3,Finland
Benedikt,Johnson,16,Male,3.4,Tiger Woods PGA Tour 2001,4,Liechtenstein
Fabian,Diaz,15,Male,4.0,FIFA 09,1,Netherlands
Lucas,Mitchell,18,Male,3.2,Real Racing 3,4,Russia
Elias,Gonzalez,16,Male,4.0,NHL 06,4,North Macedonia
Kilian,Gomez,17,Male,3.7,Monopoly,3,Poland
Anna,Turner,16,Female,4.0,Command & Conquer: Generals,4,Estonia
Ethan,Cooper,43,Male,4.0,Need for Speed: Underground,3,Spain
Rebecca,White,21,Female,3.0,Command & Conquer: Red Alert 3: Commander's Challenge,2,China
Poppy,White,14,Female,3.8,Harry Potter and the Deathly Hallows – Part 2,3,Austria
Zoe,Sanchez,14,Female,3.7,Need for Speed: Carbon,3,Iceland
Isabella,Robinson,17,Female,4.0,It Takes Two,4,Romania
Lucas,Nelson,19,Male,4.0,Madden NFL 24,4,Poland
Maximilian,Campbell,16,Male,3.1,NHL 08,4,San Marino
Leonard,Hernandez,16,Male,4.0,F1 2002,3,San Marino
Summer,Jones,18,Female,3.4,Archon: The Light and the Dark,5,Ukraine
Marco,Wright,16,Male,3.3,Jane's Combat Simulations: USAF,1,Uzbekistan
Robin,Rodriguez,15,Male,3.2,Hi-Octane,3,Belarus
Elena,Anderson,15,Female,3.9,Madden NFL 07,3,Vatican City
Nora,Collins,18,Female,3.0,Super Mega Baseball 4,1,Sweden
Samuel,Torres,21,Male,3.4,Need for Speed: Nitro-X,3,Montenegro
Mario,Parker,15,Male,4.0,Need for Speed: ProStreet,3,Ireland
Elias,Young,18,Male,4.0,FIFA Street 2,5,Spain
Elena,King,17,Female,3.0,Need for Speed: Most Wanted,2,Russia
Morgan,Bailey,16,Female,3.1,Relentless: Twinsen's Adventure,1,Denmark
Maksim,Smith,12,Male,3.2,NBA Street,3,Spain
Stefan,Hill,15,Male,3.7,FIFA Football 2004,2,North Macedonia
Jonathan,Reyes,63,Male,3.0,Hasbro Family Game Night,4,Serbia
Enzo,Peterson,67,Male,3.5,Star Wars Jedi: Survivor,2,Kyrgyzstan
Benedikt,Bailey,15,Male,3.2,U.S. Navy Fighters,4,Netherlands
Nova,Rodriguez,64,Female,3.0,Sid Meier's SimGolf,4,Iceland
Emil,Mitchell,15,Male,3.0,FIFA 23,3,Bosnia and Herzegovina
Nicolas,Parker,17,Male,3.4,The Sims 4: Island Living,4,Moldova
Lars,Baker,13,Male,3.8,Harry Potter and the Order of the Phoenix,3,Liechtenstein
Erik,Nelson,17,Male,3.0,Tiger Woods PGA Tour 2004,4,Tajikistan
Florian,Morales,16,Male,3.8,FIFA Online,3,Uzbekistan
Oscar,Morris,15,Male,3.7,Mass Effect 2,3,China
Emma,Peterson,65,Female,3.0,The Sims Bustin' Out,2,United States
Benedikt,Williams,15,Male,3.0,Theme Park,4,Moldova
Mila,Cooper,16,Female,3.9,Starflight,3,Hungary
Leander,Lee,19,Male,3.4,FIFA International Soccer,4,Spain
Gabrielle,Walker,15,Female,3.0,Jane's Combat Simulations: Israeli Air Force,3,Liechtenstein
Andreas,Miller,13,Male,4.0,Need for Speed: Nitro,3,Iceland
Leonardo,Cooper,19,Male,3.0,Risky Woods,3,Hungary
Enzo,Martinez,13,Male,3.0,Apex Legends,4,China
Lillian,Cooper,15,Female,3.2,007: Everything or Nothing,3,Kyrgyzstan
Lea,Martinez,13,Female,3.0,MVP 06: NCAA Baseball,2,Russia
Luna,Cruz,15,Female,3.5,Risky Woods,4,Iceland
David,Murphy,48,Male,3.7,The Sims Mobile,1,Russia
Philipp,Jackson,16,Male,3.7,FIFA 15,2,Portugal
Milo,Davis,15,Male,3.1,Mirror's Edge,3,Hungary
Bella,Williams,70,Female,3.9,Tiger Woods PGA Tour 08,4,Uzbekistan
Ethan,Ramos,15,Male,4.0,NBA Live 14,2,Slovenia
Dominic,Morris,10,Male,3.0,007: Agent Under Fire,3,Sweden
Layla,Perez,15,Female,4.0,Rumble Racing,4,Russia
Florian,Cooper,17,Male,4.0,EA Sports MMA,3,Finland
Amber,Gomez,15,Female,3.5,Dragon Age II,4,Slovenia
Jonas,Diaz,14,Male,3.8,Need for Speed Unbound,4,Cyprus
Marvin,Cook,55,Male,3.8,Untitled Mass Effect game,3,Russia
Nathan,Jones,17,Male,3.0,Game Over II[a],5,France
Florian,Adams,18,Male,4.0,Madden NFL 24,4,Lithuania
Marcel,Hall,16,Male,3.7,Real Racing 2,3,Russia
Luca,Jones,42,Male,3.9,The Creed,3,Ukraine
Markus,Johnson,13,Male,3.0,FIFA 11,3,Canada
Jonas,Mitchell,14,Male,3.0,FIFA 16,3,Romania
Sophie,Allen,14,Female,3.4,The F.A. Premier League Football Manager 2000,4,Turkey
Hugo,Clark,15,Male,3.6,SimCity Deluxe,4,Bulgaria
Dominic,Baker,14,Male,3.9,Tetris,2,San Marino
Jonathan,Anderson,17,Male,3.7,Fight Night Champion,4,Romania
